handle,period,num_communities,pct
PremierScottMoe,dec,4,0.77
PremierScottMoe,y2020,4,0.78
PremierScottMoe,_q1,4,0.39
PremierScottMoe,_q2,3,1
PremierScottMoe,_q3,4,1
PremierScottMoe,_q4,4,0.59
JSavikataaq,jan,7,0.92
JSavikataaq,feb,8,0.61
JSavikataaq,mar,6,0.81
JSavikataaq,apr,8,0.88
JSavikataaq,may,7,0.68
JSavikataaq,jun,8,0.9
JSavikataaq,jul,5,0.94
JSavikataaq,sep,6,0.8
JSavikataaq,oct,6,0.92
JSavikataaq,nov,3,0.84
JSavikataaq,dec,5,1
JSavikataaq,y2020,5,0.94
JSavikataaq,_q1,7,0.82
JSavikataaq,_q2,6,0.87
JSavikataaq,_q3,4,0.4
JSavikataaq,_q4,4,0.99
Premier_Silver,jan,8,0.89
Premier_Silver,mar,6,0.98
Premier_Silver,apr,5,0.41
Premier_Silver,may,7,0.89
Premier_Silver,jun,6,0.95
Premier_Silver,jul,7,0.97
Premier_Silver,aug,5,0.83
Premier_Silver,sep,5,0.87
Premier_Silver,oct,6,0.98
Premier_Silver,nov,8,0.77
Premier_Silver,dec,5,0.89
Premier_Silver,y2020,4,0.36
Premier_Silver,_q1,5,0.48
Premier_Silver,_q2,5,0.78
Premier_Silver,_q3,5,0.77
Premier_Silver,_q4,4,0.96
JustinTrudeau,jan,5,0.77
JustinTrudeau,feb,4,0.54
JustinTrudeau,mar,4,0.92
JustinTrudeau,apr,4,0.67
JustinTrudeau,may,4,0.74
JustinTrudeau,jun,4,0.68
JustinTrudeau,jul,5,0.79
JustinTrudeau,aug,5,0.73
JustinTrudeau,sep,5,0.78
JustinTrudeau,oct,5,0.53
JustinTrudeau,nov,5,0.36
JustinTrudeau,dec,5,0.52
JustinTrudeau,y2020,4,0.5
JustinTrudeau,_q1,4,0.69
JustinTrudeau,_q2,4,0.4
JustinTrudeau,_q3,5,0.77
JustinTrudeau,_q4,4,0.4
ziad_aboultaif,jan,7,0.98
ziad_aboultaif,feb,6,0.45
ziad_aboultaif,mar,6,0.65
ziad_aboultaif,apr,8,0.98
ziad_aboultaif,jul,7,0.75
ziad_aboultaif,aug,10,0.98
ziad_aboultaif,sep,6,0.74
ziad_aboultaif,oct,8,1
ziad_aboultaif,nov,7,0.92
ziad_aboultaif,y2020,5,0.77
ziad_aboultaif,_q1,6,0.54
ziad_aboultaif,_q2,9,0.96
ziad_aboultaif,_q3,6,0.65
ziad_aboultaif,_q4,7,0.68
